dep_hour,flights,avg_arr_delay,pct_delayed
0,12131,5.566435299950421,19.973621300799604
1,4006,7.992751812046988,21.24313529705442
2,1514,3.7061548643282594,20.739762219286657
3,1069,2.8671655753040226,19.457436856875585
4,526,10.106463878326997,20.15209125475285
5,197520,-2.2354850653533442,9.040097205346294
6,488754,-2.182643645162613,9.556341226874869
7,487952,-0.42220063182716366,12.2641161425714
8,477222,0.0921758311013077,13.828155449664937
9,391494,1.5550036104041092,15.258982257710208
10,434595,2.5039328111120085,16.4567010665102
11,437485,3.9336488437650403,17.68997794210087
12,415072,5.588600743293204,19.09259116490633
13,418309,7.533961001743434,21.21709071523682
14,401259,9.639200617986095,23.289695682838264
15,402365,10.926027854847677,24.87716376921452
16,403021,12.875041046001373,26.895868949756963
17,436681,13.710231003402376,27.75618815565596
18,427595,14.946841471245834,29.325179199943875
19,380862,15.369272144986803,29.91372203055175
20,311774,15.473826474038601,30.378735879194547
21,230917,13.98057780593427,28.313203445393796
22,163002,13.05145603618886,27.11193727684323
23,57621,6.3771073029997565,21.271758560247132
