Origin,flights,avg_arr_delay,pct_delayed
ASE,7372,20.62104830983988,30.27672273467173
STX,1182,25.457167090754876,30.03384094754653
MIA,108066,14.296392566049647,27.743230988470007
DFW,307745,13.90851234390886,27.02627175096265
CLT,214578,13.90406255693045,26.978068581122017
FLL,90391,12.335027352115489,26.654202298901442
EYW,7731,18.202637420028726,26.01215884102962
ACT,1060,15.302830188679245,25.849056603773583
MVY,1023,19.74142997061704,25.708699902248288
SJU,34992,13.828611653832892,25.640146319158664
TTN,1739,7.084246970571264,24.78435882691202
BWI,97445,8.155402001007701,24.524603622556313
EGE,3755,16.844260101685844,24.500665778961384
STT,5478,14.868621265540916,24.406717780211757
MCO,156643,10.650136313020774,24.352189373288304
IAH,113586,12.413005086182537,24.32342013980596
HDN,2490,9.840579710144928,24.29718875502008
STS,3670,11.393558951965066,24.22343324250681
COU,1743,12.357471264367817,23.98164084911073
SFB,9343,9.568501233773201,23.88954297334903
ACV,1704,17.972957084068195,23.884976525821596
BLV,1070,15.130393996247655,23.738317757009344
HHH,1832,9.68609125893348,23.689956331877728
CRW,3392,14.088626292466765,23.673349056603772
ORD,276267,9.87565016968839,23.62750527569344
AVL,11705,11.659344431096619,23.562580093976933
SAN,93434,9.262173329755836,23.52569728364407
LAN,1280,13.29765625,23.515625
TVC,4041,11.834944237918215,23.360554318238062
BQN,2409,10.617402164862614,23.080116230801163
PBI,28961,11.813922077922077,23.04133144573737
DAL,71888,8.142904934485642,22.94680614288894
FWA,4659,11.723500322511288,22.901910281176217
DEN,305160,7.77080930458756,22.705465985057018
JAC,5540,15.864545454545455,22.52707581227437
ACK,1583,11.23023402909551,22.42577384712571
PHL,98954,8.535497923209402,22.325524991410152
EWR,125729,6.432885799024142,22.278869632304403
SGF,9172,12.45695870657636,22.18709114696904
MDW,78703,6.238455657492355,22.184668945275277
TPA,76532,9.82962836819974,22.066586525897662
SFO,133185,7.256838745615224,22.03476367458798
CAK,3432,11.216121495327103,22.02797202797203
AVP,1572,13.363520408163266,21.946564885496183
