Year,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2015,32.19849138733567,4.948348945451218,22.88161979275095,0.12926191010397184,39.84227796435819
2016,32.636958240518524,4.354331369101205,23.67674480153503,0.1368830530008508,39.19508253584439
2017,31.17258702712913,4.253886959146165,25.070901686519647,0.14307964897792783,39.35954467822713
2018,30.047657963305568,5.617042496272546,24.55716910980235,0.14451403810328442,39.63361639251625
2019,30.611164256072872,5.50893353835079,24.032663521880515,0.13920574448224748,39.70803293921358
2020,41.84484545777075,7.03949591520686,21.67071029086037,0.23442701764038876,29.210521318521632
2021,40.82859830480376,6.875509273367082,16.708519925850833,0.3392716327436817,35.24810086323464
2022,39.783631203824974,5.552371799526808,16.803782157508667,0.21182235874152722,37.64839248039802
2023,36.42921359670541,5.234523719608129,18.088158133590998,0.21596766097525588,40.03213688912021
2024,34.51357232919535,5.969353236415358,18.9045892819665,0.17334987161966403,40.43913528080313
