Origin,flights,avg_arr_delay,pct_delayed
SCK,4653,20.642150537634407,34.128519234902214
HTS,3720,21.605987055016183,32.123655913978496
MMH,1091,24.02474793767186,31.805682859761685
HGR,1371,21.14568081991215,31.291028446389497
LCK,7016,19.034290612944705,30.416191562143673
USA,6707,18.257138585737778,30.01341881616222
BLV,7439,18.323580962653363,28.565667428417797
PSM,2389,14.00335711288292,28.25449979070741
HYA,1168,19.004288164665525,27.73972602739726
ASE,54199,16.840880025207124,27.21267920072326
BQN,18691,12.791449873947325,27.14140495425606
OTH,3228,20.490530891027632,27.106567534076824
SWF,9046,14.069382770870337,27.083793942073846
MVY,6103,16.742523825172526,26.446010158938225
RFD,5113,13.095667516173298,25.523176217484846
IAG,4798,11.51892909433173,25.03126302626094
PVU,8170,13.59970566593083,24.761321909424723
ORH,9447,11.821527334609657,24.505133904943367
TTN,21764,9.9342329480035,24.283219996324203
ACK,10465,14.259773859716367,24.099378881987576
AKN,1808,3.079020589872009,23.23008849557522
EWR,1142315,7.257106744901497,23.222928876885973
PBG,6633,11.15158850226929,23.156942559927636
MIA,842567,8.706725120790773,22.876756388512725
PSE,7149,6.727654805267582,22.772415722478666
FLL,849264,8.319265840542437,22.685172101961225
HDN,15527,8.311519845111325,22.676627809621948
SFB,64426,8.969755048616305,22.6275106323534
UIN,1535,12.770588235294118,22.54071661237785
EGE,22811,13.093896298913524,22.313795975625794
SMX,2407,13.810058187863675,22.26838388034898
DFW,2540155,8.695288827280683,22.10908389448675
MCO,1331619,8.513277167457314,21.96739457757812
CKB,4704,14.65266524520256,21.96003401360544
HPN,89027,8.918274163181096,21.83719545755782
ORD,2662268,7.093154163046618,21.795288828923308
DAL,657436,6.325171461804301,21.72728600198346
PGV,1059,9.322549952426261,21.718602455146367
PGD,39798,8.86833341742772,21.659379868335094
MDW,778670,5.150749014251675,21.534282815570137
DLG,1643,4.222763237979306,21.424223980523433
SJU,272070,8.342616534918978,21.412871687433384
JFK,1058319,3.719429763639568,21.319564327957828
PBI,238820,8.479545626402064,21.26706306004522
DEN,2435963,6.310790482160328,21.24297454435884
MEI,8276,12.344155057540885,21.169647172547123
GRI,7884,10.60810294305007,20.979198376458648
LAS,1557112,5.8584433447061635,20.85617476456414
EYW,53341,9.673416142022575,20.7888865975516
BWI,909464,4.928051958067768,20.64831593114186
JAC,45193,9.635402523982282,20.540791715531167
SUX,6800,7.893532191376255,20.455882352941178
COU,13515,10.823507601038191,20.44395116537181
LGA,1246208,3.032567171551005,20.42989613290879
HOU,524716,5.387128251545809,20.280494591359897
ACV,15249,12.095407056968263,20.22427700177061
GUC,4960,9.730948049322821,20.201612903225808
CLT,1743839,6.068298928343418,20.08356276009425
BOS,1219551,3.9095391098322083,20.03220857512314
SFO,1419347,4.890606459559946,20.015330993759804
AVL,72199,7.421429067425874,20.0127425587612
BET,7752,4.2988772744870305,20.007739938080498
AZA,38557,5.714501471239226,19.954872007676947
PIE,52213,5.882286241423712,19.88968264608431
PRC,4657,11.211149375807146,19.8840455228688
CRW,30682,8.485721753904464,19.610846750537775
PHL,867755,3.795999159030945,19.55448254403605
XWA,6923,11.201101130107215,19.529105878954212
MTJ,19305,5.956055957148058,19.33177933177933
SPI,11296,8.2520195295162,19.30771954674221
SRQ,93872,7.6421023389001075,19.287966592807226
BGR,28627,4.877326416879885,19.25804310615852
LWB,2911,11.048687845303867,19.031260735142563
SGF,64913,7.477272376006553,19.028545899896784
TOL,8358,5.4233489152583,18.83225652069873
STT,45176,4.637216345719193,18.793164512130332
BTV,61204,5.960339432858804,18.738971309064766
CMX,6776,11.593583678296866,18.698347107438014
JLN,6889,7.956934306569343,18.667440847728262
FSD,60538,6.315112699831198,18.64779146982061
IAH,1338521,5.299830335172305,18.620477377642935
PIA,36624,6.987480824019285,18.616207951070336
CHO,31752,7.1447925219478305,18.584656084656086
SBP,42360,7.577336172226165,18.571765816808313
HHH,13806,7.0538355066656955,18.571635520788064
AUS,630893,5.731595666952572,18.566698314928203
DCA,1045925,3.7651918981654524,18.53536343428066
SLN,5111,12.972008673368816,18.528663666601446
MQT,9521,10.954550236717518,18.527465602352695
LAX,1933498,3.300774815162795,18.431050872563613
DRO,28375,7.104926491376873,18.42114537444934
TVC,35653,6.378248532014722,18.379939977000532
OGS,2064,14.200777831793875,18.362403100775193
STL,566292,4.28007992877914,18.350603575540532
SAF,16659,7.400144630589369,18.31442463533225
PWM,87576,5.605681519039498,18.280122407965653
RDU,472604,5.1815267039598965,18.276400538294215
COS,97647,6.489337661270441,18.26272184501316
MSY,455014,5.01975716029095,18.22603260559016
STX,10789,4.686343776145765,18.222263416442676
CID,71448,6.338597918478413,18.221643712910087
FWA,53138,6.4569671357959475,18.196017915615943
ROA,22017,6.402248111404387,18.17686333287914
RIC,176128,4.863985066812356,18.152139353197676
ISP,46834,4.092304399015306,18.142802237690567
OAK,444648,3.3738640228287773,18.138617513178964
BNA,718414,4.28024503792619,18.127013115000544
SHV,51682,6.9801373317298365,18.066251306064007
TPA,694662,5.1323718064343895,18.02128229268335
BPT,7075,7.3015310462149134,18.021201413427562
LAW,10752,7.21356783919598,17.996651785714285
RSW,322703,5.06297644712563,17.96605547515827
XNA,98113,6.11977718724448,17.90588403167776
COD,6307,7.216568611861981,17.900745203741874
SBN,56671,4.912435627444387,17.846870533429797
CVG,325383,4.395206407886629,17.766140210152344
MGM,27778,6.394968598859453,17.701058391532868
FAR,53703,5.887362586087833,17.68802487756736
PHX,1620456,3.622230221211216,17.664348800584527
FNT,32538,4.193446056238258,17.600958878849347
STS,21751,5.925635827497236,17.571605903176867
ACY,31161,3.83707756678468,17.521902377972467
IAD,488626,3.549589514205495,17.506641071085042
GRK,23947,6.132185109318172,17.46774126195348
CAK,44518,4.863138439345445,17.467091962801565
SYR,98977,3.4373924312065927,17.465673843418166
BTR,57677,6.4311885146174435,17.44716264715571
SAV,136159,5.196094601360705,17.387025462877958
SAN,799416,3.064897901859385,17.359422378336188
SCE,10259,5.616790461297889,17.311628813724532
LFT,36106,6.52595184537199,17.290754999169113
BZN,72461,4.219716164762894,17.269979713225045
GGG,6439,5.973397635345364,17.25423202360615
ORF,171122,4.948850423219986,17.23098140507942
MRY,34895,6.497329888027562,17.174380283708267
SEA,1428679,1.9433139871379252,17.16424753216083
MYR,109379,3.7995455669876406,17.16325802942064
FSM,14436,5.803288925895087,17.144638403990026
ABI,15768,4.893086153260111,17.142313546423136
ATW,41164,4.733393330576703,17.141191332232047
TYR,11455,3.900270718714523,17.08424268878219
VPS,74647,5.391383854138654,17.06833496322692
GRR,143979,3.7556276363231382,17.061515915515457
SBA,64262,5.173543405350597,17.056736485014472
RNO,173022,4.247223686573476,17.037139785691995
JAX,245181,4.924462490901805,17.022526215326636
AEX,24835,5.349842576895132,16.972015300986513
BUR,248799,3.310733552777364,16.9482192452542
MLI,36971,4.7289909699812895,16.93759974033702
CHS,199453,4.422120806988269,16.898216622462435
MEM,191471,4.433737021503856,16.89028625744891
AGS,34619,5.73072696778671,16.87512637568965
MFE,36190,6.396927760863548,16.85824813484388
BMI,23107,4.19102781031715,16.856363872419614
LIT,107115,4.435933186730923,16.801568407786025
