route,flights,avg_arr_delay,pct_delayed
MDW-IAH,595,12.984797297297296,32.10084033613445
CLT-SAT,1399,16.618090452261306,32.0228734810579
DFW-CVG,1837,17.019083969465647,31.954273271638538
GRR-DFW,1108,20.977334542157752,31.949458483754512
DFW-PNS,1703,21.97877358490566,31.943628890193775
CLT-PWM,735,22.01510989010989,31.83673469387755
IAH-ASE,622,22.776649746192895,31.832797427652732
PBI-DFW,1104,26.21747042766151,31.793478260869566
IAH-CVG,567,18.320987654320987,31.746031746031743
DFW-LAS,6065,17.99372730274018,31.70651277823578
MIA-LAS,1515,16.85572468563865,31.683168316831683
CLT-EWR,3776,20.061652936486844,31.673728813559322
SFO-LAS,5675,16.853817668841476,31.665198237885463
TUS-SFO,856,21.73450292397661,31.6588785046729
CLT-DCA,3229,18.4044734389562,31.650665840817588
EYW-CLT,1396,24.466425992779783,31.590257879656157
MIA-TPA,2529,20.53401898734177,31.435349940688017
CLT-CLE,1855,21.164058283864005,31.428571428571427
DFW-SJU,940,15.098290598290598,31.382978723404253
MSY-SFO,524,21.65583173996176,31.297709923664126
JAC-DFW,611,56.27138157894737,31.260229132569556
ORD-COU,576,17.07304347826087,31.25
FLL-MCI,573,12.109947643979057,31.239092495637
ORD-AVP,522,16.92528735632184,31.226053639846747
RSW-DFW,1288,23.376755070202808,31.211180124223603
CLT-BWI,3280,17.334351145038166,31.1890243902439
MCO-SAN,558,16.60431654676259,31.182795698924732
CLT-DSM,716,18.91994382022472,31.145251396648042
ORD-FNT,819,20.154034229828852,31.135531135531135
DEN-MIA,2429,17.985956216439487,31.12391930835735
FLL-RDU,1405,18.7209136331192,31.103202846975087
DFW-ABQ,2399,19.258563074352548,31.0962901208837
LAX-ASE,1138,22.206703910614525,31.019332161687167
FLL-RIC,907,14.613686534216335,30.98125689084895
MIA-MSY,1770,18.412464589235128,30.96045197740113
ORD-LIT,1276,14.026004728132389,30.956112852664575
IAH-OMA,540,19.7012987012987,30.925925925925924
FLL-CMH,1074,16.193097014925375,30.91247672253259
DFW-MIA,4908,17.634914145543746,30.90872045639772
FLL-DFW,2990,18.541905082463817,30.903010033444815
CLT-OKC,809,13.987623762376238,30.902348578491967
MIA-SDF,502,17.794820717131476,30.87649402390438
ASE-ORD,931,22.519736842105264,30.82706766917293
RNO-SFO,1415,18.431914893617023,30.812720848056536
CLT-CID,546,23.359633027522936,30.76923076923077
MIA-SEA,764,12.479002624671915,30.759162303664922
BWI-SYR,622,11.951690821256038,30.70739549839228
STX-MIA,622,38.93225806451613,30.70739549839228
CAE-DFW,707,24.918803418803417,30.693069306930692
CLT-SYR,1195,17.578859060402685,30.627615062761503
MCO-PDX,503,14.646706586826348,30.61630218687873
AVL-DFW,572,30.46099290780142,30.594405594405593
DFW-CLE,1641,15.73947528981086,30.591102985984154
CLT-RDU,3651,18.748972321183885,30.56696795398521
DFW-TPA,2880,17.540766550522648,30.486111111111114
DFW-MFE,2624,18.91828942344406,30.41158536585366
DFW-PHX,5135,18.734152525843573,30.399221032132424
FLL-MSY,1443,14.126476719944407,30.353430353430355
BWI-SJU,1315,12.299542682926829,30.342205323193916
FLL-ORD,2950,19.41420319401971,30.338983050847457
MIA-CHS,775,19.97935483870968,30.32258064516129
ORD-SFO,4897,13.104746317512275,30.28384725342046
MIA-RDU,2352,19.654878568385172,30.272108843537417
CLT-JAX,2286,18.78415061295972,30.271216097987754
MIA-DFW,4910,17.753018211581747,30.26476578411405
ORD-ASE,965,17.58114035087719,30.259067357512954
CLT-AVP,1055,18.61216730038023,30.23696682464455
MSY-DFW,2966,23.267971650354372,30.209035738368172
STL-SFO,500,10.298,30.2
DSM-DFW,1196,24.603694374475232,30.183946488294318
DFW-JAX,1964,17.14525993883792,30.14256619144603
SAN-MRY,584,11.68630849220104,30.136986301369863
IAD-JFK,695,15.722302158273381,30.071942446043167
BWI-BUF,1673,12.521556886227545,30.06575014943216
ORD-ICT,1566,14.042893725992318,30.01277139208174
CLT-LGA,5919,17.24800543201494,29.971278932252073
CLT-TPA,3710,15.819016747703945,29.946091644204852
CLT-LIT,1169,15.753213367609254,29.94011976047904
DFW-SJC,1316,11.529680365296803,29.93920972644377
CLT-MKE,1033,19.07385811467444,29.912875121006778
CLT-SDF,2026,18.30252100840336,29.911154985192496
MIA-BOS,3733,15.508060182697475,29.895526386284487
MCO-DAL,2636,13.134044173648133,29.893778452200305
SFO-SAN,6248,13.478086370203885,29.88156209987196
LAS-SAN,6742,12.660127805023034,29.85760901809552
CLT-IND,1849,15.187533875338753,29.853975121687398
ORD-CAK,1052,16.440114068441066,29.84790874524715
AVL-FLL,617,21.831973898858074,29.821717990275527
DFW-FSD,893,18.55095184770437,29.78723404255319
ONT-SFO,1465,12.644125683060109,29.761092150170647
STS-SAN,706,13.770981507823613,29.745042492917843
DFW-ELP,2978,15.959663865546219,29.71793149764943
DFW-FLL,2983,15.696308724832214,29.70164264163594
DFW-CHS,1216,15.252059308072488,29.6875
DFW-GSP,1179,16.756802721088434,29.686174724342663
EGE-DFW,893,23.367117117117118,29.67525195968645
MCO-DFW,4834,17.691109264644787,29.664873810508897
FLL-SFO,1480,13.358747447243022,29.662162162162165
FLL-IND,1141,14.233333333333333,29.623137598597722
BOS-PBI,1976,13.309294057897409,29.605263157894733
DFW-IND,1853,16.49486763911399,29.573664328116568
DFW-PHL,3473,15.428571428571429,29.570976101353295
MCO-HPN,1299,20.468167701863354,29.561200923787528
CLT-CVG,2220,16.296663660955815,29.549549549549546
IAH-SMF,552,16.682395644283122,29.528985507246375
SAN-HNL,1650,10.522727272727273,29.515151515151516
RDM-SFO,1085,21.067405355494,29.493087557603687
CLT-MCO,5311,16.978318250377075,29.485972509885144
PHX-TPA,987,15.138211382113822,29.48328267477204
RIC-MCO,879,14.580756013745704,29.465301478953354
MIA-MCO,3669,18.933114933114933,29.463068956118832
ORD-TVC,1379,16.846768336964416,29.441624365482234
DFW-JAC,612,17.306291390728475,29.411764705882355
CLT-FLL,3550,16.008754589099123,29.408450704225352
