dep_hour,flights,avg_arr_delay,pct_delayed
0,133255,1.4810855510449557,16.982477205358148
1,48203,3.7436073344143694,17.53625293031554
2,15619,7.155321742477706,22.197323772328577
3,10818,6.914089983336419,23.054168977629878
4,6016,5.3441612527069795,19.847074468085108
5,1408940,-3.0545335220893612,8.060598747994947
6,4343311,-2.6814716197508077,9.170584376757732
7,4226176,-1.5608754309201016,11.29188656601145
8,4202304,-0.8096262851656595,12.808069097333272
9,3659275,0.12009161918339638,13.940930922108889
10,3897488,1.227656225008653,15.057185551308946
11,3894408,1.965553806136445,15.92917331722819
12,3784970,3.5368870331463755,17.38721839274816
13,3722023,4.907745777081197,18.8953158000367
14,3585426,6.576005660222168,20.70325813445878
15,3720952,7.496502348480927,21.845054706429966
16,3562347,8.889000223827335,23.38149540176743
17,3965349,9.610980335440859,24.257990910762206
18,3631467,10.816632768448907,25.700329921764396
19,3323007,10.939898484199606,26.023056827746675
20,2833733,10.728874262956998,25.994156824231503
21,1923465,10.045694840246464,25.338178755527135
22,1465837,8.708550337285818,23.350686331427028
23,475497,4.938540883206189,20.12715117024923
