route,flights,avg_arr_delay,pct_delayed
MIA-ATL,633,17.80348652931854,33.33333333333333
PHL-MCO,520,20.393063583815028,33.07692307692307
LAX-SFO,815,11.517791411042944,33.00613496932515
ATL-MIA,633,13.657187993680886,32.22748815165877
ORD-LGA,741,19.962162162162162,31.57894736842105
MCO-PHL,523,19.87189292543021,30.78393881453155
SJU-MCO,518,22.654440154440156,30.694980694980696
LGA-MIA,512,14.136986301369863,30.6640625
MIA-LGA,513,12.084479371316306,29.629629629629626
MCO-SJU,518,15.67504835589942,29.53667953667954
DFW-LAX,547,11.009140767824498,29.250457038391225
LIH-HNL,724,10.95850622406639,28.314917127071826
FLL-ATL,730,11.129476584022038,27.397260273972602
BOS-LGA,574,14.034843205574912,26.306620209059233
DEN-PHX,770,5.713914174252276,26.1038961038961
KOA-HNL,686,10.355685131195335,25.801749271137027
DEN-SLC,656,4.887195121951219,25.609756097560975
EWR-MCO,573,9.549738219895287,25.479930191972077
SEA-LAS,505,9.18019801980198,24.95049504950495
MCO-ATL,791,12.453045685279188,24.652338811630848
ATL-TPA,558,10.543010752688172,24.551971326164875
ATL-FLL,732,10.21311475409836,24.316939890710383
OGG-HNL,981,9.312563840653729,24.057084607543324
ATL-MCO,788,9.421855146124523,23.98477157360406
HNL-ITO,556,7.872302158273381,23.92086330935252
DEN-LAS,676,6.109467455621302,23.5207100591716
SEA-PHX,500,9.808,23.400000000000002
LGA-ORD,740,10.54533152909337,23.37837837837838
DCA-ATL,551,8.911070780399275,22.867513611615244
HNL-LIH,725,7.950344827586207,22.758620689655174
LGA-BOS,571,10.224956063268893,22.416812609457093
DCA-BOS,694,7.73342939481268,22.334293948126803
SLC-DEN,657,5.983257229832573,22.22222222222222
LAS-SEA,513,5.331384015594542,22.22222222222222
PHX-SEA,500,5.617234468937876,22.0
LAX-LAS,750,8.550066755674232,21.866666666666667
LAS-LAX,746,5.642091152815014,21.715817694369974
LAX-PHX,503,10.260437375745527,21.669980119284293
BOS-DCA,693,10.505813953488373,21.645021645021643
SLC-PHX,500,9.633266533066132,21.6
ITO-HNL,556,8.428057553956835,21.402877697841728
HNL-KOA,687,7.21688500727802,20.96069868995633
LAS-DEN,668,4.065868263473054,20.808383233532936
SFO-LAX,816,2.696078431372549,20.71078431372549
PHX-LAS,575,9.827826086956522,20.695652173913043
LAX-DFW,548,13.870437956204379,20.072992700729927
DEN-LAX,547,2.2248628884826327,19.926873857404022
HNL-OGG,976,5.197745901639344,19.774590163934427
LAS-PHX,567,10.783068783068783,19.753086419753085
PHX-DEN,779,3.5661103979460846,19.127086007702182
LAX-JFK,752,5.005340453938585,18.882978723404257
ATL-DCA,555,8.292727272727273,18.1981981981982
TPA-ATL,566,3.0815602836879434,17.6678445229682
ATL-LGA,637,5.184251968503937,17.425431711145997
LGA-ATL,639,-0.02040816326530612,17.370892018779344
MCO-EWR,576,1.2222222222222223,17.36111111111111
LAS-SAN,570,1.7456140350877194,16.842105263157894
SAN-LAS,556,0.9658273381294964,16.366906474820144
PHX-SLC,503,4.51394422310757,16.10337972166998
LAX-DEN,544,0.17463235294117646,14.154411764705882
JFK-LAX,752,-12.283244680851064,13.829787234042554
