route,flights,avg_arr_delay,pct_delayed
AUS-HNL,582,47.55172413793103,52.57731958762887
LEX-EWR,688,50.292397660818715,51.30813953488372
EWR-FWA,607,32.0990099009901,47.61120263591433
XNA-EWR,997,29.253776435045317,42.52758274824473
MRY-LAS,726,31.1900826446281,42.14876033057851
LAX-CHS,536,23.93097014925373,41.23134328358209
MIA-PDX,501,24.253012048192772,41.11776447105788
GSP-FLL,673,34.6,40.861812778603266
EWR-OKC,702,20.943804034582133,40.45584045584046
JAC-EWR,1074,32.1846298031865,40.4096834264432
MEM-FLL,926,33.046637744034705,40.17278617710583
EWR-BQN,3019,23.67573846664454,40.11262007287181
SHV-LAS,745,21.858490566037737,40.0
BWI-LGA,1056,18.635071090047393,39.96212121212121
LIT-SFB,567,31.367491166077738,38.80070546737213
EWR-SMF,1839,20.510673234811165,38.66231647634584
USA-FLL,2018,29.388059701492537,38.60257680872151
LEX-FLL,879,34.44508009153318,38.45278725824801
SNA-PVU,886,44.54648526077097,38.37471783295711
DEN-SRQ,829,18.2043530834341,38.118214716525934
PVD-PGD,841,22.67065868263473,38.049940546967896
LCK-FLL,649,30.819875776397517,37.750385208012325
EVV-SFB,748,27.602409638554217,37.5668449197861
OAK-EWR,892,18.08548931383577,37.55605381165919
MYR-CVG,689,31.117732558139537,37.445573294629895
BDL-SJU,6242,21.943944747831672,37.32777955783403
MEM-SFB,769,23.44140625,37.32119635890767
DFW-SYR,1190,26.17142857142857,37.3109243697479
SJU-BDL,6242,23.68841630417271,37.24767702659404
SPI-PGD,777,26.19458762886598,37.06563706563706
ORF-FLL,1159,30.00086730268864,37.01466781708369
RIC-SFB,501,22.284,36.92614770459082
SRQ-DEN,826,23.184596577017114,36.92493946731235
LGA-CAK,1163,24.17211703958692,36.19948409286328
IDA-AZA,1147,33.8935427574171,36.181342632955534
ORD-MEI,1038,27.95926285160039,36.03082851637765
FLL-TYS,2016,25.45698657384386,35.81349206349206
BOS-SMF,764,15.320954907161804,35.73298429319372
MCO-ONT,1319,16.915589353612166,35.6330553449583
PNS-MCO,1129,20.882196634189548,35.60673162090345
HTS-SFB,1148,22.85764192139738,35.54006968641115
PBI-PIT,587,19.497444633730836,35.43441226575809
SMF-BOS,761,27.36268068331143,35.34822601839684
BLV-SFB,960,23.0,35.3125
CKB-SFB,729,25.160493827160494,35.25377229080932
JFK-PSE,2582,17.883430799220275,35.20526723470178
SCK-LAS,3334,22.703870387038705,35.0629874025195
AZA-LAS,755,24.743046357615896,34.966887417218544
SJU-DCA,3368,21.75112174693389,34.94655581947744
ASE-ATL,1288,28.248417721518987,34.93788819875777
HTS-PIE,1196,27.02265100671141,34.280936454849495
MCO-ABQ,528,16.013257575757574,34.28030303030303
FNT-PGD,1496,17.763563295378432,34.22459893048128
FLL-GSP,675,24.081723625557206,34.22222222222222
TRI-SFB,769,27.046936114732723,34.070221066319895
PBI-TTN,2031,21.080653142008906,34.02264894140817
LCK-PGD,1132,22.313551815766164,34.01060070671378
BZN-EWR,1415,26.487068965517242,33.99293286219081
EWR-DSM,1067,13.612781954887218,33.92689784442362
CHA-SFB,728,21.053571428571427,33.65384615384615
BIL-AZA,1072,20.467787114845937,33.582089552238806
LGA-LEX,992,24.736363636363638,33.568548387096776
DCA-BTR,504,13.844621513944222,33.53174603174603
PSC-AZA,862,17.69489559164733,33.52668213457077
SAT-BOS,1065,21.708056872037915,33.52112676056338
FLL-ORF,1164,22.659188955996548,33.50515463917525
MIA-DAL,2033,16.601874691662555,33.49729463846533
CLT-ONT,1077,14.728119180633147,33.33333333333333
FWA-PGD,1339,19.686377245508982,33.23375653472741
SYR-FLL,1354,16.036323202372127,33.08714918759232
OMA-SFB,632,17.63132911392405,33.06962025316456
IDA-LAS,724,29.053867403314918,33.011049723756905
MDW-DFW,1242,17.49717057396928,32.930756843800324
EYW-IAH,529,27.777142857142856,32.89224952741021
ABQ-JFK,2584,19.395728155339807,32.856037151702786
HOU-JFK,1728,16.40255962769052,32.8125
MFR-LAS,1012,29.09683794466403,32.70750988142292
EWR-SBN,1650,19.674164133738604,32.666666666666664
MMH-SFO,524,23.43320610687023,32.63358778625955
CAK-EWR,2427,25.162463828028113,32.63288009888752
SDF-FLL,1748,17.877223178427997,32.608695652173914
LCK-SFB,1075,19.29011194029851,32.55813953488372
ABE-FLL,504,24.169322709163346,32.53968253968254
BQN-EWR,3006,19.86697860962567,32.53493013972056
RIC-PIE,646,19.088372093023256,32.50773993808049
DFW-EUG,1243,21.172190784155216,32.50201126307321
FLL-AVL,4205,19.97775119617225,32.461355529131986
BLV-PGD,1137,24.385296722763506,32.45382585751979
BWI-EWR,1812,14.390055248618784,32.450331125827816
MSY-CVG,792,22.29040404040404,32.44949494949495
SDF-SFB,953,22.31684210526316,32.423924449108085
CHA-EWR,1361,27.847745750184774,32.40264511388685
SNA-BOI,597,26.369747899159663,32.32830820770519
EWR-CAK,2398,17.26045150501672,32.3185988323603
ASE-DFW,6504,26.159875583203732,32.31857318573186
JAX-IND,520,20.823076923076922,32.30769230769231
DFW-MDW,1242,21.303225806451614,32.2866344605475
MCI-PGD,586,19.21917808219178,32.25255972696246
FLL-LGB,608,13.873146622734762,32.23684210526316
MCO-BQN,6889,17.874763636363635,32.167223109304686
BOS-SJC,1850,10.484745762711864,32.16216216216216
FCA-LAS,713,20.05890603085554,32.117812061711085
JFK-BQN,4421,14.948322756119673,32.096810676317574
ASE-SFO,2605,21.904853620955315,31.97696737044146
