Origin,flights,avg_arr_delay,pct_delayed
GRR,1470,23.016359918200408,33.197278911564624
DSM,1151,29.72632493483927,32.841007819287576
ORD,18901,19.38546981292517,32.15173800328025
MIA,9956,16.614973262032084,31.749698674166332
DTW,9149,19.224194608809995,30.76838998797683
FLL,8195,13.506375674350172,30.665039658328247
HPN,1038,20.851063829787233,30.539499036608863
DFW,22916,17.168186601192563,30.245243497992668
BUF,1354,16.91494082840237,29.83751846381093
BWI,7277,11.354772069962815,29.27030369657826
SJU,2999,16.987951807228917,28.87629209736579
MCI,3596,15.150864472950362,28.587319243604004
MKE,2016,17.96969696969697,28.174603174603174
OMA,1795,20.203683035714285,27.85515320334262
CLT,16077,13.223545550913512,27.119487466567143
MDW,5395,10.803899721448468,27.099165894346616
BDL,1540,15.668619791666666,27.01298701298701
ANC,1028,10.841642228739003,26.750972762645915
MCO,13878,12.473634787633632,26.675313445741462
TYS,1047,15.97131931166348,26.64756446991404
PHL,6760,14.445731254639941,26.331360946745562
STL,4711,11.251223144011913,25.98174485247294
DEN,22370,9.795329239320454,25.927581582476535
BOI,1570,11.346717654557043,25.477707006369428
MSY,3950,12.35404514329191,25.341772151898734
AUS,6468,11.961276332094176,25.247371675943103
IAH,8371,14.934164767957789,25.218014574124954
BOS,9809,9.187826086956521,25.089203792435516
SEA,10786,10.170736270932734,24.6894122010013
RIC,1313,12.009160305343512,24.676313785224675
CLE,2938,11.870143149284253,24.50646698434309
LIH,1315,7.9245426829268295,24.182509505703422
BNA,7034,13.662535612535612,24.16832527722491
PBI,2803,11.58279569892473,24.117017481270068
PDX,3881,12.368801652892563,24.065962380829685
HOU,4510,9.653342216300244,24.013303769401332
MEM,1611,12.04542626011201,23.960273122284296
TUL,1185,11.455236486486486,23.544303797468356
DAL,5824,6.157604955264969,23.47184065934066
SDF,1718,11.248541423570595,23.341094295692667
JFK,9193,4.282227307398932,23.300337213096924
DCA,10832,10.092683378040885,23.181314623338256
GEG,1242,10.202093397745571,22.946859903381643
SLC,9356,9.093512064343164,22.830269345874303
RSW,3691,8.150871459694988,22.48713085884584
IAD,3706,7.526884625776817,22.126281705342688
IND,3462,5.737116386797916,21.923743500866554
RDU,4372,8.233906071019472,21.75205855443733
LGA,12118,4.8856528214463015,21.670242614292786
LAS,14568,6.0341151385927505,21.547226798462383
SFO,9559,7.043843087895952,21.372528507166024
BHM,1260,10.05957108816521,21.11111111111111
ATL,26043,7.247313484574201,20.90772952424836
OKC,1672,10.105452366686638,20.873205741626794
SRQ,1550,10.669689119170984,20.838709677419352
PHX,15063,7.465500033269013,20.68645024231561
CVG,3037,6.946847144272037,20.480737569970366
OGG,2167,3.2942271880819365,20.35071527457314
EWR,9470,2.981995339970345,20.316789862724395
PIT,3175,4.508356985178177,20.22047244094488
HNL,5025,3.273451503684525,20.1592039800995
TPA,6608,6.021086165048544,20.111985472154963
CHS,1702,9.96413874191652,19.9764982373678
JAX,2267,6.76657824933687,19.894133215703572
SYR,1041,1.2884615384615385,19.88472622478386
CMH,3079,3.7959648551903675,19.81162715167262
KOA,1329,7.017319277108434,19.63882618510158
MSP,9263,4.349978336221837,19.496923243009824
PSP,1373,5.338921282798834,19.37363437727604
LAX,14757,5.2300319488817895,19.21122179304737
ABQ,1775,4.783540022547914,18.76056338028169
GSP,1170,5.73350471293916,18.71794871794872
SAT,3182,5.614875512133628,18.416090509113765
ORF,1450,5.758644536652835,18.413793103448274
SAN,6722,4.393528183716075,18.313002082713478
SNA,3603,4.699666295884316,18.06827643630308
SAV,1309,8.289655172413793,17.647058823529413
OAK,3477,1.892250072025353,17.572620074777106
BUR,2282,2.5239350021958717,17.26555652936021
RNO,1523,5.423784494086728,17.202889034799735
LGB,1462,2.538725154215216,17.16826265389877
TUS,1568,6.024888321633695,16.964285714285715
ELP,1264,5.558637083993661,16.77215189873418
SJC,3758,0.19472562599893448,15.72645023948909
SMF,4087,1.8146150073565472,15.512600929777342
ONT,1846,3.408672086720867,14.897074756229687
