Reporting_Airline,flights,avg_arr_delay,pct_delayed
B6,1104059,12.393931872669699,27.03759491114152
F9,750281,12.291361927124145,26.773035702623417
G4,538961,12.87394024222503,25.802794636346597
NK,1058755,8.551686316223803,23.177883457457106
AA,4003323,8.690108905308911,21.021111711445716
WN,6020850,3.771028815049209,19.807269737661628
AS,1025024,1.7305535256777103,18.80063296078921
UA,2810856,4.152402434535478,18.440183346283128
YV,393908,6.116160497692521,17.659453476446277
OH,1022470,4.394365423853118,17.364617054779114
MQ,1193752,2.961092588036846,17.213374302200123
HA,329355,4.70047409208327,17.1343990526939
OO,3435358,3.9599458779363554,15.770292353809994
DL,4150551,1.216349246774001,14.635623077514287
QX,196811,2.344420071151918,14.57337242328935
YX,1421109,-1.4237323874134356,14.166823234530215
9E,1086675,-1.8692443209527136,12.252513400970852
EV,48100,-4.874158521081261,11.04989604989605
