Origin,flights,avg_arr_delay,pct_delayed
BNA,407370,3.999616242770727,18.033974028524437
BDL,100941,4.151176879531234,18.008539641969072
LGA,627420,0.5225782020206217,17.99209460967135
STL,272196,3.988845530849654,17.946259313142
VPS,45454,6.2469310253466395,17.93241518898227
SAN,381653,3.341147509543313,17.893479155148786
AMA,22599,6.332254489026823,17.885747156953848
CID,36441,6.096281832682471,17.85626080513707
FSM,6050,6.775645268034414,17.801652892561982
ACY,14059,3.1990863016632165,17.753752044953412
JAX,126358,5.86063024610063,17.751942892416782
PHX,804258,3.7328433968871546,17.745797990197175
MSO,21550,7.496256336325164,17.740139211136892
FAR,29184,5.696450638473157,17.687774122807017
COS,52887,5.130822333485056,17.68676612400023
ACV,8024,11.389896211079154,17.634596211365903
ATW,23811,5.464634146341464,17.62210742933938
RDU,246454,4.311809858353255,17.590300826929166
SBN,27739,4.12997107736804,17.538483723277697
CPR,7704,4.961408523908524,17.497403946002077
BGR,19324,2.941506202314839,17.480852825501966
ACT,6366,5.3424980361351135,17.467797675149228
SHV,21028,6.830601353283141,17.44340878828229
CLL,6149,5.940084662976229,17.401203447715076
STS,16609,5.795221431157234,17.39418387621169
BIS,18243,5.070191832023306,17.3929726470427
PWM,48082,4.744674642544499,17.372405473981946
RAP,23418,5.643683083511777,17.362712443419593
SEA,758410,2.142515846766361,17.358948326103295
ROW,4850,10.115630807350815,17.340206185567013
ALB,50392,3.6037882254630826,17.304334021273217
BUF,86851,3.921852287672181,17.300894635640347
SYR,53822,3.297235923685435,17.279179517669355
PVD,62476,3.793218543896529,17.249823932390036
CHS,110515,4.822692269317636,17.242003347961816
SAV,80772,4.67795705597617,17.23617095032932
CAK,13638,4.7924361709955114,17.216600674585717
MEM,99214,5.228535927508561,17.196161831999515
LIT,52962,5.392976746826102,17.1103810279068
ORF,93131,4.829832565746997,17.101716936358464
OGG,124878,2.712891376876684,17.05104181681321
RNO,91674,4.3755318567131525,17.03972773087244
CVG,173922,3.537597104723266,16.9760007359621
SNA,191518,3.13568560104297,16.966029302728725
XNA,51277,4.706252688382278,16.94131871989391
GRR,76969,3.5278305693681498,16.93019267497304
ROA,10655,5.57136145823546,16.921633036133272
GGG,3707,6.28795245813074,16.913946587537094
IAD,245710,2.7458570746848197,16.844654267225593
SJT,6757,4.779143830543624,16.812194760988604
OAK,196766,1.7909622919953183,16.80066678186272
MQT,4982,8.6721608040201,16.800481734243274
LBE,3658,2.143169997262524,16.78512848551121
MGM,12593,5.717093745026261,16.779163027078535
BUR,124717,2.2103862909318885,16.767561759824243
LFT,15532,6.925426136363637,16.75894926603142
RIC,81497,3.468522526067283,16.73803943703449
SFO,577492,1.794578157462193,16.73789420459504
SUX,3684,4.659673024523161,16.720955483170467
SBP,22535,6.03297290081431,16.711781672953183
CDV,3516,-0.9386928860613071,16.666666666666664
ABI,8928,4.746300448430493,16.666666666666664
LAX,863568,2.138189682994843,16.656244789061198
LBB,27260,5.216995001470156,16.643433602347763
