Reporting_Airline,flights,avg_arr_delay,pct_delayed
F9,1287500,11.25874472391674,26.04147572815534
B6,2528111,10.908266546246875,25.94075181034377
G4,739094,11.810565555350493,24.60295984002035
VX,217006,7.390080428954423,23.403039547293623
NK,1837073,8.03690829749571,22.434383391405785
AA,8334724,6.7920221439367925,20.21892986498413
EV,1739339,7.136827307893313,19.59365023149599
WN,12526239,3.9310502897171355,19.291385067776528
YV,824697,7.978104248578174,19.272654077800695
US,194648,3.7062088424131026,18.776971764415766
UA,5675313,4.42033996638425,18.76987225197976
MQ,2074282,4.358224667259237,18.75270575553372
OH,1571535,5.461492278677103,18.417343552641206
AS,2062194,0.7590229349389881,17.22272492306737
OO,6889820,5.183755210466371,17.001910064413874
YX,2048556,0.20457344266096902,15.617439796617717
QX,196811,2.344420071151918,14.57337242328935
DL,8791737,0.6292482397536453,14.123773265738047
9E,1579112,-0.12808388223131711,14.019904857920148
HA,722095,2.726169469252873,13.640725943262314
