dep_hour,flights,avg_arr_delay,pct_delayed
0,53083,3.7840270178483832,18.621780984495977
1,18740,6.8777932214262805,19.823906083244395
2,6856,8.22728600642711,22.94340723453909
3,4643,6.49126590467975,22.70083997415464
4,2455,5.88453692370461,19.06313645621181
5,703286,-2.6675705931447813,8.619253049257344
6,2111678,-2.5665999995255007,9.316051026719036
7,2102964,-1.510820868852537,11.302380830104557
8,2127421,-1.127994746769018,12.703550449111859
9,1790828,-0.17133718971824666,13.858393994286441
10,1968294,0.7190617570847605,14.777416381902297
11,1959063,1.5066101070470965,15.643754182484177
12,1854690,3.0456464155968725,17.092613859998167
13,1876607,4.73152134518898,18.846140934143378
14,1796154,6.287246886692355,20.51104749370043
15,1812130,7.438154674471196,21.920888677964605
16,1767667,8.940721402390908,23.4785737358903
17,1916782,9.293642978209562,23.91492616270395
18,1853735,10.334139562743983,25.197722436054775
19,1619009,11.122790664280002,26.150503178178752
20,1360195,11.021862991136505,26.121254673043204
21,963980,11.347291188177463,26.302205439946885
22,685915,10.853346827545717,24.811091753351363
23,234023,6.656565786263658,20.922729817154725
